date,volume_9008,turnover_9008,volume_9042,turnover_9042,volume_9439,turnover_9439
,0.0,0,0.0,0,0.0,0.0
,472600.0,1730222,418176.0,30400,1212300.0,43176.0
,188700.0,835358,164640.0,146000,597800.0,204876.0
,100.0,2445683,89.0,76100,1700400.0,109546.0
,100.0,35391,87.0,1500,25100.0,2163.0
,0.0,0,0.0,0,0.0,0.0
,8700.0,200643,7899.0,10000,136500.0,14700.0
,0.0,261263,0.0,10000,177300.0,14860.0
,0.0,3852923,0.0,0,2501600.0,0.0
,47800.0,2125295,47254.0,22000,1337000.0,34872.0
,0.0,0,0.0,0,0.0,0.0
,1900.0,1357449,1792.0,25400,904500.0,38552.0
,0.0,575683,0.0,0,391200.0,0.0
,151400.0,19786,145538.0,0,13000.0,0.0
,35000.0,120720,33740.0,0,78700.0,0.0
,0.0,0,0.0,0,0.0,0.0
,20900.0,15220,20084.0,30000,10000.0,46080.0
,26100.0,207004,25003.0,250000,135900.0,384520.0
,1364700.0,8474895,1377797.0,1261100,5221200.0,2049358.0
,424700.0,10818926,415700.0,97500,6928600.0,152456.0
,0.0,0,0.0,0,0.0,0.0
,400.0,76252,388.0,16200,49300.0,25077.0
,0.0,36543,0.0,50300,23600.0,77526.0
,0.0,503197,0.0,149700,314100.0,242182.0
,0.0,16157,0.0,70000,10200.0,111580.0
,0.0,0,0.0,0,0.0,0.0
,1400.0,767665,1486.0,0,453400.0,0.0
,51200.0,2285196,53062.0,30200,1384700.0,50192.0
,10000.0,3257221,9955.0,30000,2048000.0,47640.0
,500.0,153333,486.0,47100,99400.0,73254.0
,0.0,0,0.0,0,0.0,0.0
,1800.0,512816,1690.0,0,345800.0,0.0
,0.0,0,0.0,0,0.0,0.0
,0.0,0,0.0,0,0.0,0.0
,9000.0,292,8262.0,0,200.0,0.0
,0.0,0,0.0,0,0.0,0.0
,0.0,118274,0.0,0,77000.0,0.0
,0.0,0,0.0,0,0.0,0.0
,11600.0,1068313,11797.0,3000,664200.0,4896.0
,339319.0,519836,323501.0,0,341200.0,0.0
,77491.0,40099,72558.0,17700,26800.0,26620.0
,0.0,234938,0.0,0,157300.0,0.0
,0.0,0,0.0,0,0.0,0.0
,30000.0,746837,28596.0,0,495300.0,0.0
,1025.0,583746,997.0,0,378100.0,0.0
,400.0,186627,400.0,0,117700.0,0.0
,400.0,186620,400.0,0,117700.0,0.0
,185970.0,620600,188140.0,0,385200.0,0.0
,1460000.0,5140000,1560000.0,590900,3000000.0,1010000.0
,64050.0,1610000,64769.99999999999,63200,991700.0,103670.0
,0.0,233560,0.0,10100,139500.0,17040.0
,33610.0,208850,34200.0,30700,128100.0,50250.0
,8000.0,215690,8280.0,11500,129600.0,19020.0
,120120.0,933910,120070.0,109100,584900.0,174510.0
,60500.0,159900,61300.0,40300,98400.0,65600.0
,363830.0,1220000,339410.0,219700,819800.0,328140.0
,284160.0,435390,279200.0,41600,277700.0,66840.0
,5550.0,109370,5410.0,0,70200.0,0.0
,0.0,120160,0.0,0,77600.0,0.0
,0.0,59590,0.0,100,38700.0,155.8
,77700.0,638980,74000.0,110000,419000.0,170280.0
,0.0,36730,0.0,0,23700.0,0.0
,25000.0,40010,23900.0,0,26300.0,0.0
,0.0,178120,0.0,1800,116100.0,2760.0
,0.0,28840,0.0,0,18800.0,0.0
,1400.0,108460,1330.0,0,71300.0,0.0
,0.0,18980,0.0,0,12500.0,0.0
,79200.0,27780,74920.0,16500,18400.0,25080.0
,0.0,0,0.0,0,0.0,0.0
