DATE,Volume_9008,Volume_9042,Volume_9439,Turnover_9008,Turnover_9042,Turnover_9439
18-Nov-24,8700,136500,10000,7899,200643,14700
19-Nov-24,0,177300,10000,0,261263,14860
20-Nov-24,0,2501600,0,0,3852923,0
21-Nov-24,47800,1337000,22000,47254,2125295,34872
22-Nov-24,0,0,0,0,0,0
25-Nov-24,1900,904500,25400,1792,1357449,38552
26-Nov-24,0,391200,0,0,575683,0
27-Nov-24,151400,13000,0,145538,19786,0
28-Nov-24,35000,78700,0,33740,120720,0
29-Nov-24,0,0,0,0,0,0
2-Dec-24,20900,10000,30000,20084,15220,46080
3-Dec-24,26100,135900,250000,25003,207004,384520
4-Dec-24,1364700,5221200,1261100,1377797,8474895,2049358
5-Dec-24,424700,6928600,97500,415700,10818926,152456
6-Dec-24,0,0,0,0,0,0
9-Dec-24,400,49300,16200,388,76252,25077
10-Dec-24,0,23600,50300,0,36543,77526
11-Dec-24,0,314100,149700,0,503197,242182
12-Dec-24,0,10200,70000,0,16157,111580
13-Dec-24,0,0,0,0,0,0
16-Dec-24,1400,453400,0,1486,767665,0
17-Dec-24,51200,1384700,30200,53062,2285196,50192
18-Dec-24,10000,2048000,30000,9955,3257221,47640
19-Dec-24,500,99400,47100,486,153333,73254
20-Dec-24,0,0,0,0,0,0
23-Dec-24,1800,345800,0,1690,512816,0
24-Dec-24,0,0,0,0,0,0
27-Dec-24,0,0,0,0,0,0
30-Dec-24,9000,200,0,8262,292,0
31-Dec-24,0,0,0,0,0,0
2-Jan-25,0,77000,0,0,118274,0
3-Jan-25,0,0,0,0,0,0
6-Jan-25,11600,664200,3000,11797,1068313,4896
7-Jan-25,339319,341200,0,323501,519836,0
8-Jan-25,77491,26800,17700,72558,40099,26620
9-Jan-25,0,157300,0,0,234938,0
10-Jan-25,0,0,0,0,0,0
13-Jan-25,30000,495300,0,28596,746837,0
14-Jan-25,1025,378100,0,997,583746,0
15-Jan-25,400,117700,0,400,186627,0
16-Jan-25,0,0,0,0,0,0
